Mês/Ano,Razão Social,CNPJ,Instalação,Região,Estado,Município,Capacidade Autorizada (m³/d),Volume Processado  (m³/d),FUE (%)
06/2023,3R POTIGUAR S.A.,44186763000225,3R POTIGUAR S.A.,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4253,60
07/2023,3R POTIGUAR S.A.,44186763000225,3R POTIGUAR S.A.,NORDESTE,Rio Grande do Norte,GUAMARE,7100,5428,76
08/2023,3R POTIGUAR S.A.,44186763000225,3R POTIGUAR S.A.,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4698,66
01/2019,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,189,57
02/2019,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,284,85
03/2019,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,313,94
04/2019,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,321,96
05/2019,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,317,95
06/2019,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,298,89
07/2019,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,254,76
08/2019,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,325,98
09/2019,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,380,114
10/2019,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,288,86
11/2019,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,160,48
12/2019,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,170,51
01/2020,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,276,83
02/2020,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,349,105
03/2020,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,330,99
04/2020,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,377,113
05/2020,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,429,129
06/2020,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,332,100
07/2020,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,333,100
08/2020,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,372,112
09/2020,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,358,108
10/2020,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,310,93
11/2020,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,302,91
12/2020,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,333,100
01/2021,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,334,100
02/2021,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,340,102
03/2021,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,331,99
04/2021,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,332,100
05/2021,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,336,101
06/2021,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,338,102
07/2021,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,343,103
08/2021,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,341,102
09/2021,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,343,103
10/2021,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,333,100
11/2021,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,333,100
12/2021,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,333,100
01/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,333,333,100
02/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,485,76
03/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,424,67
04/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,435,68
05/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,471,74
06/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,361,57
07/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,343,54
08/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,350,55
09/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,276,43
10/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,334,52
11/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,439,69
12/2022,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,446,70
01/2023,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,402,63
02/2023,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,434,68
03/2023,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,460,72
04/2023,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,468,73
05/2023,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,413,65
06/2023,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,521,82
07/2023,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,493,77
08/2023,DAX OIL REFINO S/A,04585532000199,DAX OIL,NORDESTE,Bahia,CAMACARI,637,0,0
01/2019,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,5122,72
02/2019,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,5119,72
03/2019,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,5016,71
04/2019,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4980,70
05/2019,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4982,70
06/2019,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4973,70
07/2019,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4971,70
08/2019,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,5107,72
09/2019,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4985,70
10/2019,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,5056,71
11/2019,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,5037,71
12/2019,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4998,70
01/2020,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4868,69
02/2020,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4974,70
03/2020,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4814,68
04/2020,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,2526,36
05/2020,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4802,68
06/2020,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4571,64
07/2020,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4896,69
08/2020,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4887,69
09/2020,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4820,68
10/2020,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4693,66
11/2020,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,5085,72
12/2020,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4645,65
01/2021,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4933,69
02/2021,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4749,67
03/2021,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4788,67
04/2021,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4273,60
05/2021,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,3681,52
06/2021,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4674,66
07/2021,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4803,68
08/2021,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4696,66
09/2021,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4725,67
10/2021,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4012,57
11/2021,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4242,60
12/2021,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4718,66
01/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4794,68
02/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4554,64
03/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4926,69
04/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,2729,38
05/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,3584,50
06/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4377,62
07/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,2598,37
08/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,2571,36
09/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,3219,45
10/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4263,60
11/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4417,62
12/2022,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4138,58
01/2023,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4092,58
02/2023,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4126,58
03/2023,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4427,62
04/2023,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4193,59
05/2023,PETROLEO BRASILEIRO S/A,33000167109111,GUAMARÉ,NORDESTE,Rio Grande do Norte,GUAMARE,7100,4089,58
01/2019,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,888,54
02/2019,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1126,68
03/2019,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1110,67
04/2019,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,713,43
05/2019,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,971,59
06/2019,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1064,64
07/2019,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1131,69
08/2019,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1296,79
09/2019,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1478,90
10/2019,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1096,66
11/2019,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1295,78
12/2019,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1384,84
01/2020,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1422,86
02/2020,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1249,76
03/2020,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1318,80
04/2020,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1067,65
05/2020,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1125,68
06/2020,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1349,82
07/2020,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,1650,1358,82
