Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Produto,Produção
08/2023,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,32709736
08/2023,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4076713
08/2023,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,39773341
08/2023,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2448936
08/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,23927702
08/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,867148
08/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,994400
07/2023,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,49541214
07/2023,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5074342
07/2023,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,36855859
07/2023,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2657256
07/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,20420288
07/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,476902
07/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,752550
06/2023,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,40884603
06/2023,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4500212
06/2023,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,40883144
06/2023,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2236569
06/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,20964531
06/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,909721
06/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,554230
05/2023,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,44394858
05/2023,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5655277
05/2023,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,43102847
05/2023,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2336246
05/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,16005760
05/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,1164658
05/2023,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,729330
04/2023,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,47612284
