ANO;MÊS;PRODUTOR;PRODUTO;PRODUÇÃO
2003;JAN;CAPIXABA;GASOLINA A;0
2003;FEV;CAPIXABA;GASOLINA A;0
2003;MAR;CAPIXABA;GASOLINA A;0
2003;ABR;CAPIXABA;GASOLINA A;0
2003;MAI;CAPIXABA;GASOLINA A;0
2003;JUN;CAPIXABA;GASOLINA A;0
2003;JUL;CAPIXABA;GASOLINA A;0
2003;AGO;CAPIXABA;GASOLINA A;0
2003;SET;CAPIXABA;GASOLINA A;0
2003;OUT;CAPIXABA;GASOLINA A;0
2003;NOV;CAPIXABA;GASOLINA A;0
2003;DEZ;CAPIXABA;GASOLINA A;0
2003;JAN;COPAPE;GASOLINA A;0
2003;FEV;COPAPE;GASOLINA A;0
2003;MAR;COPAPE;GASOLINA A;0
2003;ABR;COPAPE;GASOLINA A;0
2003;MAI;COPAPE;GASOLINA A;0
2003;JUN;COPAPE;GASOLINA A;0
2003;JUL;COPAPE;GASOLINA A;0
2003;AGO;COPAPE;GASOLINA A;0
2003;SET;COPAPE;GASOLINA A;0
2003;OUT;COPAPE;GASOLINA A;7385
2003;NOV;COPAPE;GASOLINA A;26582
2003;DEZ;COPAPE;GASOLINA A;34253
2003;JAN;DECAL;GASOLINA A;0
2003;FEV;DECAL;GASOLINA A;0
2003;MAR;DECAL;GASOLINA A;0
2003;ABR;DECAL;GASOLINA A;0
2003;MAI;DECAL;GASOLINA A;0
2003;JUN;DECAL;GASOLINA A;0
2003;JUL;DECAL;GASOLINA A;0
2003;AGO;DECAL;GASOLINA A;0
2003;SET;DECAL;GASOLINA A;0
2003;OUT;DECAL;GASOLINA A;0
2003;NOV;DECAL;GASOLINA A;0
2003;DEZ;DECAL;GASOLINA A;0
2003;JAN;CPB;GASOLINA A;0
2003;FEV;CPB;GASOLINA A;0
2003;MAR;CPB;GASOLINA A;0
2003;ABR;CPB;GASOLINA A;0
2003;MAI;CPB;GASOLINA A;0
2003;JUN;CPB;GASOLINA A;0
2003;JUL;CPB;GASOLINA A;0
2003;AGO;CPB;GASOLINA A;0
2003;SET;CPB;GASOLINA A;0
2003;OUT;CPB;GASOLINA A;0
2003;NOV;CPB;GASOLINA A;0
2003;DEZ;CPB;GASOLINA A;0
2003;JAN;NEOVG;GASOLINA A;0
2003;FEV;NEOVG;GASOLINA A;0
2003;MAR;NEOVG;GASOLINA A;0
2003;ABR;NEOVG;GASOLINA A;0
2003;MAI;NEOVG;GASOLINA A;0
2003;JUN;NEOVG;GASOLINA A;0
2003;JUL;NEOVG;GASOLINA A;0
2003;AGO;NEOVG;GASOLINA A;0
2003;SET;NEOVG;GASOLINA A;0
2003;OUT;NEOVG;GASOLINA A;0
2003;NOV;NEOVG;GASOLINA A;0
2003;DEZ;NEOVG;GASOLINA A;0
2003;JAN;NORQUIMA;GASOLINA A;0
2003;FEV;NORQUIMA;GASOLINA A;0
2003;MAR;NORQUIMA;GASOLINA A;0
2003;ABR;NORQUIMA;GASOLINA A;0
2003;MAI;NORQUIMA;GASOLINA A;0
2003;JUN;NORQUIMA;GASOLINA A;0
2003;JUL;NORQUIMA;GASOLINA A;0
2003;AGO;NORQUIMA;GASOLINA A;0
2003;SET;NORQUIMA;GASOLINA A;0
2003;OUT;NORQUIMA;GASOLINA A;0
2003;NOV;NORQUIMA;GASOLINA A;0
2003;DEZ;NORQUIMA;GASOLINA A;0
2003;JAN;CAPIXABA;ÓLEO DIESEL;0
2003;FEV;CAPIXABA;ÓLEO DIESEL;0
2003;MAR;CAPIXABA;ÓLEO DIESEL;0
2003;ABR;CAPIXABA;ÓLEO DIESEL;0
2003;MAI;CAPIXABA;ÓLEO DIESEL;0
2003;JUN;CAPIXABA;ÓLEO DIESEL;0
2003;JUL;CAPIXABA;ÓLEO DIESEL;0
2003;AGO;CAPIXABA;ÓLEO DIESEL;0
2003;SET;CAPIXABA;ÓLEO DIESEL;0
2003;OUT;CAPIXABA;ÓLEO DIESEL;0
2003;NOV;CAPIXABA;ÓLEO DIESEL;0
2003;DEZ;CAPIXABA;ÓLEO DIESEL;0
2003;JAN;COPAPE;ÓLEO DIESEL;0
2003;FEV;COPAPE;ÓLEO DIESEL;0
2003;MAR;COPAPE;ÓLEO DIESEL;0
2003;ABR;COPAPE;ÓLEO DIESEL;0
2003;MAI;COPAPE;ÓLEO DIESEL;0
2003;JUN;COPAPE;ÓLEO DIESEL;0
2003;JUL;COPAPE;ÓLEO DIESEL;0
2003;AGO;COPAPE;ÓLEO DIESEL;0
2003;SET;COPAPE;ÓLEO DIESEL;0
2003;OUT;COPAPE;ÓLEO DIESEL;0
2003;NOV;COPAPE;ÓLEO DIESEL;0
2003;DEZ;COPAPE;ÓLEO DIESEL;0
2003;JAN;DECAL;ÓLEO DIESEL;0
2003;FEV;DECAL;ÓLEO DIESEL;0
2003;MAR;DECAL;ÓLEO DIESEL;0
2003;ABR;DECAL;ÓLEO DIESEL;0
2003;MAI;DECAL;ÓLEO DIESEL;0
2003;JUN;DECAL;ÓLEO DIESEL;0
2003;JUL;DECAL;ÓLEO DIESEL;0
2003;AGO;DECAL;ÓLEO DIESEL;0
2003;SET;DECAL;ÓLEO DIESEL;0
2003;OUT;DECAL;ÓLEO DIESEL;0
2003;NOV;DECAL;ÓLEO DIESEL;0
