ANO;MÊS;UNIDADE DA FEDERAÇÃO;PRODUTOR;PRODUTO;PRODUÇÃO
2001;JAN;PARANÁ;SIX;GLP;1914,536294
2001;FEV;PARANÁ;SIX;GLP;1925,01399
2001;MAR;PARANÁ;SIX;GLP;2361,940299
2001;ABR;PARANÁ;SIX;GLP;2501,86428
2001;MAI;PARANÁ;SIX;GLP;2313,16726
2001;JUN;PARANÁ;SIX;GLP;2553,631916
2001;JUL;PARANÁ;SIX;GLP;2442,862495
2001;AGO;PARANÁ;SIX;GLP;2130,133133
2001;SET;PARANÁ;SIX;GLP;2505,121997
2001;OUT;PARANÁ;SIX;GLP;2367,88805
2001;NOV;PARANÁ;SIX;GLP;2052,823315
2001;DEZ;PARANÁ;SIX;GLP;2490,902475
2001;JAN;PARANÁ;SIX;NAFTA;3204
2001;FEV;PARANÁ;SIX;NAFTA;2953
2001;MAR;PARANÁ;SIX;NAFTA;3453
2001;ABR;PARANÁ;SIX;NAFTA;3609
2001;MAI;PARANÁ;SIX;NAFTA;3072
2001;JUN;PARANÁ;SIX;NAFTA;3341
2001;JUL;PARANÁ;SIX;NAFTA;3584
2001;AGO;PARANÁ;SIX;NAFTA;2924
2001;SET;PARANÁ;SIX;NAFTA;3599
2001;OUT;PARANÁ;SIX;NAFTA;2969
2001;NOV;PARANÁ;SIX;NAFTA;3524
2001;DEZ;PARANÁ;SIX;NAFTA;3856
2001;JAN;PARANÁ;SIX;ÓLEO COMBUSTÍVEL;15473,68067
2001;FEV;PARANÁ;SIX;ÓLEO COMBUSTÍVEL;7953,683161
2001;MAR;PARANÁ;SIX;ÓLEO COMBUSTÍVEL;9894
2001;ABR;PARANÁ;SIX;ÓLEO COMBUSTÍVEL;9923
2001;MAI;PARANÁ;SIX;ÓLEO COMBUSTÍVEL;7078,08629
2001;JUN;PARANÁ;SIX;ÓLEO COMBUSTÍVEL;10461,90538
2001;JUL;PARANÁ;SIX;ÓLEO COMBUSTÍVEL;9722,051978
2001;AGO;PARANÁ;SIX;ÓLEO COMBUSTÍVEL;9440,456337
2001;SET;PARANÁ;SIX;ÓLEO COMBUSTÍVEL;8437,510002
2001;OUT;PARANÁ;SIX;ÓLEO COMBUSTÍVEL;9694,834887
2001;NOV;PARANÁ;SIX;ÓLEO COMBUSTÍVEL;10278,53212
2001;DEZ;PARANÁ;SIX;ÓLEO COMBUSTÍVEL;10678,47237
2001;JAN;PARANÁ;SIX;OUTROS NÃO ENERGÉTICOS;1292,298716
2001;FEV;PARANÁ;SIX;OUTROS NÃO ENERGÉTICOS;1104,84196
2001;MAR;PARANÁ;SIX;OUTROS NÃO ENERGÉTICOS;1139
2001;ABR;PARANÁ;SIX;OUTROS NÃO ENERGÉTICOS;1091
2001;MAI;PARANÁ;SIX;OUTROS NÃO ENERGÉTICOS;1075,683649
2001;JUN;PARANÁ;SIX;OUTROS NÃO ENERGÉTICOS;1251,489869
