Mês/Ano,Razão Social,CNPJ,Instalação,Região,Estado,Município,Produto,Produção
08/2023,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,Gasolina A (m³),16681
08/2023,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,Nafta (m³),0
08/2023,SSOIL ENERGY S/A,30459634000178,SSOIL,SUDESTE,São Paulo,COROADOS,Solventes (m³),0
08/2023,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,Asfalto (kg),444399
08/2023,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,Cimento Asfáltico (kg),18589797
08/2023,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,DMA-MGO (m³),2619
08/2023,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,GLP (kg),7141072
08/2023,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,Lubrificantes (m³),2800
08/2023,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,Óleo Combustível (kg),3867263
08/2023,PETROLEO BRASILEIRO S/A,33000167005502,LUBNOR,NORDESTE,Ceará,FORTALEZA,Óleo Combustível Marítimo (kg),9959779
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Asfalto (kg),86565
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Cimento Asfáltico (kg),19937300
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Coque (kg),34701900
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,DMA-MGO (m³),128968
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Gasolina A (m³),208330
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Gasolina A Premium (m³),3026
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,GLP (kg),72270406
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Lubrificantes (m³),37861
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Nafta (m³),143119
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Óleo Combustível (kg),163781163
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Óleo Combustível Marítimo (kg),39237808
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Óleo Diesel S10 (m³),139986
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Óleo Diesel S500 (m³),33757
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Parafinas (kg),2330837
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Propano (m³),32189
08/2023,PETROLEO BRASILEIRO S/A,33000167008862,REDUC,SUDESTE,Rio de Janeiro,DUQUE DE CAXIAS,Querosene de Aviação (m³),103688
08/2023,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Asfalto (kg),482900
08/2023,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Cimento Asfáltico (kg),72953749
08/2023,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Coque (kg),32019000
08/2023,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Gasolina A (m³),186864
08/2023,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,GLP (kg),30426244
08/2023,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Nafta (m³),810
08/2023,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Óleo Combustível (kg),21048200
08/2023,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Óleo Diesel S10 (m³),227588
08/2023,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Óleo Diesel S500 (m³),137107
08/2023,PETROLEO BRASILEIRO S/A,33000167009320,REGAP,SUDESTE,Minas Gerais,BETIM,Querosene de Aviação (m³),54102
08/2023,PETROLEO BRASILEIRO S/A,33000167010255,REFAP,SUL,Rio Grande do Sul,CANOAS,Asfalto (kg),176855
08/2023,PETROLEO BRASILEIRO S/A,33000167010255,REFAP,SUL,Rio Grande do Sul,CANOAS,Cimento Asfáltico (kg),21339285
08/2023,PETROLEO BRASILEIRO S/A,33000167010255,REFAP,SUL,Rio Grande do Sul,CANOAS,Coque (kg),15219580
08/2023,PETROLEO BRASILEIRO S/A,33000167010255,REFAP,SUL,Rio Grande do Sul,CANOAS,Gasolina A (m³),243498
08/2023,PETROLEO BRASILEIRO S/A,33000167010255,REFAP,SUL,Rio Grande do Sul,CANOAS,GLP (kg),37038791
08/2023,PETROLEO BRASILEIRO S/A,33000167010255,REFAP,SUL,Rio Grande do Sul,CANOAS,Nafta (m³),37438
08/2023,PETROLEO BRASILEIRO S/A,33000167010255,REFAP,SUL,Rio Grande do Sul,CANOAS,Óleo Combustível (kg),39939397
08/2023,PETROLEO BRASILEIRO S/A,33000167010255,REFAP,SUL,Rio Grande do Sul,CANOAS,Óleo Diesel S10 (m³),257674
08/2023,PETROLEO BRASILEIRO S/A,33000167010255,REFAP,SUL,Rio Grande do Sul,CANOAS,Óleo Diesel S500 (m³),209755
08/2023,PETROLEO BRASILEIRO S/A,33000167010255,REFAP,SUL,Rio Grande do Sul,CANOAS,Querosene de Aviação (m³),16563
08/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,Coque (kg),50799000
08/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,DMA-MGO (m³),19383
08/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,Gasolina A (m³),202688
08/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,Gasolina A Premium (m³),4136
08/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,Gasolina de aviação (m³),3487
08/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,GLP (kg),27321340
08/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,Óleo Combustível (kg),21543663
08/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,Óleo Combustível Marítimo (kg),41828453
08/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,Óleo Diesel S10 (m³),316102
08/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,Óleo Diesel S500 (m³),100164
08/2023,PETROLEO BRASILEIRO S/A,33000167014757,RPBC,SUDESTE,São Paulo,CUBATAO,Solventes (m³),12324
08/2023,PETROLEO BRASILEIRO S/A,33000167064347,REPLAN,SUDESTE,São Paulo,PAULINIA,Cimento Asfáltico (kg),41054191
08/2023,PETROLEO BRASILEIRO S/A,33000167064347,REPLAN,SUDESTE,São Paulo,PAULINIA,Coque (kg),122785586
08/2023,PETROLEO BRASILEIRO S/A,33000167064347,REPLAN,SUDESTE,São Paulo,PAULINIA,DMA-MGO (m³),16440
08/2023,PETROLEO BRASILEIRO S/A,33000167064347,REPLAN,SUDESTE,São Paulo,PAULINIA,Gasolina A (m³),516454
08/2023,PETROLEO BRASILEIRO S/A,33000167064347,REPLAN,SUDESTE,São Paulo,PAULINIA,GLP (kg),77863812
08/2023,PETROLEO BRASILEIRO S/A,33000167064347,REPLAN,SUDESTE,São Paulo,PAULINIA,Nafta (m³),4010
08/2023,PETROLEO BRASILEIRO S/A,33000167064347,REPLAN,SUDESTE,São Paulo,PAULINIA,Óleo Combustível (kg),34590614
08/2023,PETROLEO BRASILEIRO S/A,33000167064347,REPLAN,SUDESTE,São Paulo,PAULINIA,Óleo Combustível Marítimo (kg),157504337
08/2023,PETROLEO BRASILEIRO S/A,33000167064347,REPLAN,SUDESTE,São Paulo,PAULINIA,Óleo Diesel S10 (m³),596972
08/2023,PETROLEO BRASILEIRO S/A,33000167064347,REPLAN,SUDESTE,São Paulo,PAULINIA,Óleo Diesel S500 (m³),365225
08/2023,PETROLEO BRASILEIRO S/A,33000167064347,REPLAN,SUDESTE,São Paulo,PAULINIA,Querosene de Aviação (m³),64216
08/2023,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Asfalto (kg),405507
08/2023,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Cimento Asfáltico (kg),46346831
08/2023,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Coque (kg),35229000
08/2023,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,DMA-MGO (m³),4059
08/2023,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Gasolina A (m³),303952
08/2023,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,GLP (kg),48667949
08/2023,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Nafta (m³),2457
08/2023,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Óleo Combustível (kg),47452986
08/2023,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Óleo Combustível Marítimo (kg),14517118
08/2023,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Óleo Diesel S10 (m³),209222
08/2023,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Óleo Diesel S500 (m³),283636
08/2023,PETROLEO BRASILEIRO S/A,33000167080970,REPAR,SUL,Paraná,ARAUCARIA,Querosene de Aviação (m³),8963
