ANO;MÊS;UNIDADE DA FEDERAÇÃO;REFINARIA;PRODUTO;PRODUÇÃO
2000;JAN;AMAZONAS;REMAN;GAS COMBUSTIVEL;0
2000;FEV;AMAZONAS;REMAN;GAS COMBUSTIVEL;0
2000;MAR;AMAZONAS;REMAN;GAS COMBUSTIVEL;0
2000;ABR;AMAZONAS;REMAN;GAS COMBUSTIVEL;0
2000;MAI;AMAZONAS;REMAN;GAS COMBUSTIVEL;0
2000;JUN;AMAZONAS;REMAN;GAS COMBUSTIVEL;0
2000;JUL;AMAZONAS;REMAN;GAS COMBUSTIVEL;0
2000;AGO;AMAZONAS;REMAN;GAS COMBUSTIVEL;0
2000;SET;AMAZONAS;REMAN;GAS COMBUSTIVEL;0
2000;OUT;AMAZONAS;REMAN;GAS COMBUSTIVEL;0
2000;NOV;AMAZONAS;REMAN;GAS COMBUSTIVEL;0
2000;DEZ;AMAZONAS;REMAN;GAS COMBUSTIVEL;0
2000;JAN;CEARÁ;LUBNOR;GAS COMBUSTIVEL;0
2000;FEV;CEARÁ;LUBNOR;GAS COMBUSTIVEL;0
2000;MAR;CEARÁ;LUBNOR;GAS COMBUSTIVEL;0
2000;ABR;CEARÁ;LUBNOR;GAS COMBUSTIVEL;0
2000;MAI;CEARÁ;LUBNOR;GAS COMBUSTIVEL;0
2000;JUN;CEARÁ;LUBNOR;GAS COMBUSTIVEL;0
2000;JUL;CEARÁ;LUBNOR;GAS COMBUSTIVEL;0
2000;AGO;CEARÁ;LUBNOR;GAS COMBUSTIVEL;0
2000;SET;CEARÁ;LUBNOR;GAS COMBUSTIVEL;0
2000;OUT;CEARÁ;LUBNOR;GAS COMBUSTIVEL;0
2000;NOV;CEARÁ;LUBNOR;GAS COMBUSTIVEL;0
2000;DEZ;CEARÁ;LUBNOR;GAS COMBUSTIVEL;0
2000;JAN;PERNAMBUCO;RNEST;GAS COMBUSTIVEL;0
2000;FEV;PERNAMBUCO;RNEST;GAS COMBUSTIVEL;0
2000;MAR;PERNAMBUCO;RNEST;GAS COMBUSTIVEL;0
2000;ABR;PERNAMBUCO;RNEST;GAS COMBUSTIVEL;0
2000;MAI;PERNAMBUCO;RNEST;GAS COMBUSTIVEL;0
2000;JUN;PERNAMBUCO;RNEST;GAS COMBUSTIVEL;0
2000;JUL;PERNAMBUCO;RNEST;GAS COMBUSTIVEL;0
2000;AGO;PERNAMBUCO;RNEST;GAS COMBUSTIVEL;0
2000;SET;PERNAMBUCO;RNEST;GAS COMBUSTIVEL;0
2000;OUT;PERNAMBUCO;RNEST;GAS COMBUSTIVEL;0
2000;NOV;PERNAMBUCO;RNEST;GAS COMBUSTIVEL;0
2000;DEZ;PERNAMBUCO;RNEST;GAS COMBUSTIVEL;0
2000;JAN;BAHIA;RLAM (ATUALMENTE MATARIPE);GAS COMBUSTIVEL;6628,999685
2000;FEV;BAHIA;RLAM (ATUALMENTE MATARIPE);GAS COMBUSTIVEL;8044,444583
2000;MAR;BAHIA;RLAM (ATUALMENTE MATARIPE);GAS COMBUSTIVEL;7625,555687
2000;ABR;BAHIA;RLAM (ATUALMENTE MATARIPE);GAS COMBUSTIVEL;6955,555675
2000;MAI;BAHIA;RLAM (ATUALMENTE MATARIPE);GAS COMBUSTIVEL;7634,444576
2000;JUN;BAHIA;RLAM (ATUALMENTE MATARIPE);GAS COMBUSTIVEL;7128,999661
2000;JUL;BAHIA;RLAM (ATUALMENTE MATARIPE);GAS COMBUSTIVEL;1293,333356
2000;AGO;BAHIA;RLAM (ATUALMENTE MATARIPE);GAS COMBUSTIVEL;0
2000;SET;BAHIA;RLAM (ATUALMENTE MATARIPE);GAS COMBUSTIVEL;5220,00009
2000;OUT;BAHIA;RLAM (ATUALMENTE MATARIPE);GAS COMBUSTIVEL;6172,222328
2000;NOV;BAHIA;RLAM (ATUALMENTE MATARIPE);GAS COMBUSTIVEL;2600,000045
